sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),Charge (C),tdc_timestamp,tdc_calibration_constant,adct_timestamp,hcal_energy_timestamp
2,2316,he3,2100,750,4.291,0,0.163,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2318,he3,2100,750,4.291,0,0.173,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2319,he3,2100,750,4.291,0,0.153,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2320,he3,2100,750,4.291,0,0.063,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2321,he3,2100,750,4.291,0,0.131,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2322,he3,2100,750,4.291,0,0.13,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
2,2323,he3,2100,750,4.291,0,0.107,--------[ 2022-10-17 00:00:00 ],none,--------[ 2022-10-17 00:00:00 ],--------[ 2022-10-17 00:00:00 ]
3,2506,he3,2100,750,6.373,0,1.441358,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2507,he3,2100,750,6.373,0,0.86,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2511,he3,2100,750,6.373,0,1.662386,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2512,he3,2100,750,6.373,0,0.695435,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2516,he3,2100,750,6.373,0,1.823593,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2517,he3,2100,750,6.373,0,1.343204,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2518,he3,2100,750,6.373,0,0.867671,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2519,he3,2100,750,6.373,0,1.123629,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2520,he3,2100,750,6.373,0,1.59,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2521,he3,2100,750,6.373,0,1.87,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2522,he3,2100,750,6.373,0,1.16,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2523,he3,2100,750,6.373,0,0.372,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2524,he3,2100,750,6.373,0,1.88,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2525,he3,2100,750,6.373,0,1.18,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2526,he3,2100,750,6.373,0,0.987,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2527,he3,2100,750,6.373,0,1.64,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2528,he3,2100,750,6.373,0,1.76,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2529,he3,2100,750,6.373,0,1.01,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2531,he3,2100,750,6.373,0,0.15,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2535,he3,2100,750,6.373,0,1.3,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2536,he3,2100,750,6.373,0,0.4,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2537,he3,2100,750,6.373,0,1.5,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2539,he3,2100,750,6.373,0,1.9,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2540,he3,2100,750,6.373,0,2.2,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2541,he3,2100,750,6.373,0,1.8,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2542,he3,2100,750,6.373,0,1.8,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2543,he3,2100,750,6.373,0,2.15,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2544,he3,2100,750,6.373,0,1.72,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2545,he3,2100,750,6.373,0,0.094,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2551,he3,2100,750,6.373,0,2.73,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2552,he3,2100,750,6.373,0,1.42,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2553,he3,2100,750,6.373,0,2.25,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2554,he3,2100,750,6.373,0,2.31,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2555,he3,2100,750,6.373,0,2.16,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2556,he3,2100,750,6.373,0,1.98,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2557,he3,2100,750,6.373,0,2.26,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2558,he3,2100,750,6.373,0,2.2,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2559,he3,2100,750,6.373,0,1.06,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2560,he3,2100,750,6.373,0,1.42,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2561,he3,2100,750,6.373,0,2.49,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2562,he3,2100,750,6.373,0,1.3,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2563,he3,2100,750,6.373,0,0.32,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2564,he3,2100,750,6.373,0,0.14,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
3,2565,he3,2100,750,6.373,0,0.42,--------[ 2022-07-26 00:00:00 ],none,none,--------[2021-10-24 04:30:00 ]
